code,iso,country,region,include,SEA,sids,ldc,lldc,arableague,asean,comwealth,eu27,g20,franco,oecd,oei,oic,opec,emmrkt
222,SLV,El Salvador,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
226,GNQ,Equatorial Guinea,Sub-Saharan Africa,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False
232,ERI,Eritrea,Sub-Saharan Africa,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
233,EST,Estonia,Eastern Europe,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
748,SWZ,Eswatini,Sub-Saharan Africa,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
231,ETH,Ethiopia,Sub-Saharan Africa,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False
234,FRO,Faeroe Islands,Global West,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
238,FLK,Falkland Islands,Latin America & Caribbean,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
242,FJI,Fiji,Asia-Pacific,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
246,FIN,Finland,Global West,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
250,FRA,France,Global West,True,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False
258,PYF,French Polynesia,Asia-Pacific,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
266,GAB,Gabon,Sub-Saharan Africa,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False
270,GMB,Gambia,Sub-Saharan Africa,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
268,GEO,Georgia,Former Soviet States,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
276,DEU,Germany,Global West,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False
288,GHA,Ghana,Sub-Saharan Africa,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
300,GRC,Greece,Eastern Europe,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True
304,GRL,Greenland,Global West,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
308,GRD,Grenada,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
320,GTM,Guatemala,Latin America & Caribbean,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
831,GGY,Guernsey,Global West,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
324,GIN,Guinea,Sub-Saharan Africa,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
624,GNB,Guinea-Bissau,Sub-Saharan Africa,True,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False
328,GUY,Guyana,Latin America & Caribbean,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
332,HTI,Haiti,Latin America & Caribbean,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
