"code","iso","country","GRA.raw.1992","GRA.raw.1993","GRA.raw.1994","GRA.raw.1995","GRA.raw.1996","GRA.raw.1997","GRA.raw.1998","GRA.raw.1999","GRA.raw.2000","GRA.raw.2001","GRA.raw.2002","GRA.raw.2003","GRA.raw.2004","GRA.raw.2005","GRA.raw.2006","GRA.raw.2007","GRA.raw.2008","GRA.raw.2009","GRA.raw.2010","GRA.raw.2011","GRA.raw.2012","GRA.raw.2013","GRA.raw.2014","GRA.raw.2015"
64,"BTN","Bhutan",6263.82,6263.82,6263.82,6236.01,6229.26,6231.42,6230.52,6231.24,6233.31,6231.51,6233.67,6228.99,6226.92,6227.1,6228.09,6227.64,6223.86,6225.39,6224.58,6226.74,6230.43,6230.79,6236.46,6236.46
68,"BOL","Bolivia",93977.46,95013.9,95010.48,96166.98,96206.13,96304.77,96252.93,97754.13,98133.66,98263.53,98634.96,98757.99,99257.85,99483.57,99477.18,99618.48,99929.88,100071.72,100576.98,100712.07,100506.51,100528.74,100900.98,100895.04
70,"BIH","Bosnia and Herzegovina",4885.56,4885.11,4884.66,4952.16,4963.86,4986.27,5027.85,5075.55,5118.21,5119.2,5121,5122.26,5134.05,5131.08,5118.66,5115.33,5122.08,5111.01,5107.68,5105.34,5105.61,5101.02,5070.69,5068.53
72,"BWA","Botswana",36415.35,36411.93,36409.05,36410.4,36316.26,36286.29,36291.96,35894.07,34428.6,34152.12,33599.61,33172.11,32006.7,31945.32,31841.46,31476.24,31160.61,30970.89,30884.58,30849.21,30791.7,30739.32,30733.83,30731.04
76,"BRA","Brazil",419295.06,419527.98,419515.02,423780.3,424911.69,427415.22,430225.38,434750.4,437045.94,438478.83,439970.76,441152.46,442628.1,442944.9,443323.35,443698.11,444189.33,444432.96,444802.68,445012.47,445036.68,445176.27,445071.87,445055.31
92,"VGB","British Virgin Islands",12.78,12.69,12.69,12.69,12.69,12.69,12.69,12.69,12.69,12.6,12.6,12.6,12.6,12.51,12.42,12.33,12.33,12.33,12.33,12.24,12.24,12.24,12.24,12.15
96,"BRN","Brunei Darussalam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"BGR","Bulgaria",1823.4,1823.22,1823.04,1842.3,1844.37,1865.52,1883.43,1933.47,1946.16,1945.35,1946.16,1940.94,1939.68,1938.69,1931.49,1910.16,1896.3,1888.11,1887.93,1887.12,1886.67,1888.11,1883.79,1882.89
854,"BFA","Burkina Faso",45052.02,45048.69,45046.89,44992.8,44880.39,44817.12,44492.4,44348.31,44247.78,44219.43,44175.06,44127.27,44050.59,44049.78,43983.81,44024.31,43972.11,43978.23,43962.66,43934.4,43984.17,43991.1,43972.83,43971.84
108,"BDI","Burundi",3256.74,3256.56,3256.56,3371.4,3387.24,3401.19,3435.39,3495.42,3494.16,3476.79,3469.23,3464.46,3445.74,3436.29,3430.89,3427.29,3421.17,3413.07,3413.61,3413.34,3412.89,3412.44,3411.45,3410.1
132,"CPV","Cabo Verde",531.54,531.54,531.54,531.63,531.63,531.63,531.63,532.89,535.86,540.63,543.42,544.5,544.59,544.5,547.2,552.42,555.57,560.34,565.47,570.06,572.49,573.03,573.3,573.21
116,"KHM","Cambodia",1166.85,1166.85,1166.85,1173.24,1171.98,1179.9,1180.98,1183.68,1185.3,1181.34,1167.66,1116.99,1098.18,1093.59,1091.79,1103.13,1100.52,1102.59,1106.64,1118.43,1145.52,1191.06,1196.01,1196.01
120,"CMR","Cameroon",12628.62,12627.45,12627.18,12617.73,12617.46,12617.64,12622.32,12665.34,12686.58,12681.36,12685.95,12687.3,12689.91,12687.84,12683.34,12680.46,12667.5,12663.54,12662.19,12650.22,12649.95,12630.06,12565.53,12564.99
124,"CAN","Canada",253409.13,253405.98,253403.55,251692.38,252224.55,252376.47,252730.89,253294.65,254464.65,251722.53,250413.48,248833.17,247830.57,245608.02,244355.85,243169.74,241405.2,240469.2,241199.37,241648.29,242025.48,241913.97,242362.26,242817.84
136,"CYM","Cayman Islands",1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17,1.17
140,"CAF","Central African Republic",63583.92,63583.92,63583.92,63581.76,63577.53,63577.71,63577.98,63586.89,63610.74,63616.05,63611.55,63584.64,63584.19,63586.08,63555.93,63559.98,63553.95,63557.1,63560.25,63558,63566.1,63577.17,63589.05,63589.05
148,"TCD","Chad",137662.11,137661.12,137659.23,137308.86,137018.7,136841.31,136116,134818.47,130303.44,130326.48,130276.35,130134.24,129972.33,129906,129471.84,129633.48,129115.71,128935.53,129134.34,129136.41,129183.57,129067.83,129021.84,129021.12
152,"CHL","Chile",33984.63,33984.54,33983.82,33940.71,33940.17,33942.42,33948.45,34069.32,34302.69,34311.69,34234.29,34185.06,34137.63,34128,34079.49,34060.23,33941.07,33897.06,33875.46,33880.41,33899.49,33886.17,33875.28,33875.37
156,"CHN","China",2646700.2,2646364.68,2646054.18,2638027.89,2634222.87,2631481.47,2630630.52,2630458.53,2628094.77,2626857.36,2630500.02,2631265.65,2630260.35,2630091.15,2630090.79,2632224.6,2631510.9,2629840.68,2629634.04,2633005.8,2634985.44,2633908.32,2636117.91,2635925.94
170,"COL","Colombia",148865.22,148866.84,148851.81,149819.31,149877.72,150080.76,150316.11,150894.54,150709.41,150725.7,150750.45,150935.76,151172.37,151280.28,151320.42,151325.01,151291.44,151333.83,151336.8,151314.03,151317.27,151298.01,151079.4,151066.08
174,"COM","Comoros",8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.73,8.73,8.73,8.73,8.82,8.82,8.82,9.09,9.09,9.09,9.09,9.09
184,"COK","Cook Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,"CRI","Costa Rica",212.94,210.87,208.26,210.96,209.88,209.34,209.16,208.53,209.43,205.11,201.96,201.96,204.03,200.7,201.15,201.15,202.41,203.94,206.28,206.82,207.45,208.35,208.71,208.71
384,"CIV","Cote d'Ivoire",35.55,34.65,33.84,33.03,31.77,31.59,31.05,30.69,30.51,24.03,23.22,22.23,21.42,18.63,17.91,17.01,16.47,16.2,16.38,16.2,16.11,16.11,16.11,16.02
191,"HRV","Croatia",3078.99,3078.72,3078.54,3093.93,3095.01,3095.01,3106.62,3135.15,3149.01,3151.62,3150.18,3151.71,3153.69,3152.25,3151.53,3151.8,3153.15,3145.14,3144.33,3143.43,3142.89,3131.91,3123.9,3123.36
192,"CUB","Cuba",6555.24,6552.99,6549.93,6552.45,6547.68,6545.88,6548.49,6541.74,6541.56,6530.13,6539.22,6546.42,6578.64,6601.32,6593.49,6579.63,6593.94,6609.96,6615.18,6633.36,6650.19,6655.32,6676.2,6673.77
531,"CUW","Curacao",94.77,94.32,92.79,91.98,90.9,89.82,89.1,89.01,88.56,87.66,84.06,82.8,82.08,80.37,77.13,74.25,72.36,70.02,68.49,66.96,65.43,64.53,63.63,63.09
196,"CYP","Cyprus",71.91,71.91,71.91,71.91,71.91,71.91,71.91,71.91,71.91,71.1,71.1,71.1,70.02,70.02,70.02,70.02,63.72,63.63,63.63,63.45,63.45,63.27,63.27,63.27
203,"CZE","Czech Republic",5706.81,5705.28,5703.75,5768.73,5781.06,5831.19,5846.31,5896.08,5905.8,5924.97,5921.37,5917.14,5914.08,5917.41,5915.43,5926.68,5946.66,5949.09,5963.4,5973.66,5979.87,5984.55,5997.15,5997.15
180,"COD","Dem. Rep. Congo",37263.42,37261.26,37259.82,37203.21,37206.99,37284.66,37352.52,37638.72,37773.09,37855.08,37837.17,37740.96,37748.52,37751.85,37716.39,37790.28,37764.63,37923.21,38036.16,38081.97,38144.25,38171.7,38100.87,38091.51
208,"DNK","Denmark",2858.49,2858.4,2858.13,2865.06,2867.76,2868.39,2869.56,2871.9,2874.87,2875.23,2871.18,2871.54,2872.89,2881.26,2883.51,2888.73,2890.17,2892.51,2895.21,2900.79,2901.42,2903.58,2906.73,2906.73
262,"DJI","Djibouti",703.26,703.08,702.99,702.99,703.62,707.31,710.73,715.05,733.77,729.09,685.53,685.71,693.9,693.18,691.38,689.13,686.88,685.44,684.36,684.09,684.09,679.95,680.4,679.68
212,"DMA","Dominica",1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26
214,"DOM","Dominican Republic",5830.83,5827.95,5825.7,5852.25,5856.3,5865.21,5876.37,5861.34,5857.38,5843.88,5840.1,5815.17,5731.02,5713.47,5700.42,5685.03,5665.95,5659.56,5657.13,5659.56,5664.78,5675.13,5689.44,5687.37
218,"ECU","Ecuador",13113.09,13104.45,13089.33,13089.42,13071.78,13074.84,13084.29,13113.54,13221.63,13240.35,13262.67,13292.19,13314.96,13316.13,13305.06,13298.4,13237.56,13209.66,13170.15,13134.69,13104.72,13027.41,12893.31,12878.64
818,"EGY","Egypt",8.82,8.82,8.82,8.82,8.73,8.73,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64
222,"SLV","El Salvador",47.43,46.89,46.53,46.17,46.26,45.9,46.08,45.54,45.45,45.18,44.73,44.64,44.64,44.28,44.01,43.65,43.38,42.93,42.84,42.66,42.57,42.21,42.21,42.21
226,"GNQ","Equatorial Guinea",3.06,3.06,3.06,3.06,3.06,3.06,3.06,1.98,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.52,2.52,2.52,2.52,2.52,2.52,2.52
232,"ERI","Eritrea",21931.83,21931.83,21931.56,21891.24,21894.57,21882.96,21844.53,22005.27,22167.45,22230.72,22240.44,22302,22784.4,22828.68,22831.29,22828.86,22800.51,22823.64,22912.02,22924.44,22919.4,22927.32,22770.72,22762.53
233,"EST","Estonia",1852.2,1852.2,1852.2,1890.36,1897.47,1910.52,1972.53,2068.2,2151.36,2176.92,2187.09,2188.71,2241.36,2257.83,2266.83,2279.97,2302.47,2321.1,2349.81,2369.79,2375.55,2377.8,2389.59,2389.59
748,"SWZ","Eswatini",2071.17,2071.17,2071.17,2081.61,2084.76,2096.19,2117.7,2185.11,2213.46,2223.36,2233.8,2265.93,2270.97,2269.08,2268.18,2270.97,2272.95,2273.58,2269.8,2272.23,2274.48,2273.94,2273.94,2273.58
231,"ETH","Ethiopia",76542.21,76540.5,76538.16,76700.16,76763.97,76798.44,76956.75,77994.63,79883.91,81428.31,81734.67,82016.82,83986.02,84059.82,84036.33,84197.25,84165.03,84318.75,84622.68,84627.9,84787.47,84736.89,84745.62,84742.74
234,"FRO","Faeroe Islands",1063.17,1063.17,1063.17,1063.08,1062.63,1062.63,1062.63,1062.54,1062.54,1062.54,1063.08,1063.08,1063.08,1063.08,1063.08,1063.08,1063.08,1062,1061.91,1062.09,1062.09,1062.09,1062.18,1062.18
238,"FLK","Falkland Islands",10560.24,10560.24,10560.24,10560.24,10554.3,10554.12,10550.7,10540.44,10529.73,10523.97,10520.91,10517.58,10495.44,10497.87,10500.39,10498.59,10506.24,10515.6,10515.51,10515.51,10521.36,10529.82,10531.08,10531.08
242,"FJI","Fiji",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,"FIN","Finland",1163.79,1163.79,1163.79,1163.7,1165.05,1165.14,1165.32,1168.29,1147.68,1153.44,1159.2,1162.35,1185.57,1189.26,1195.38,1201.86,1260.54,1425.87,1615.5,1766.88,1884.24,1908.72,1984.23,1984.32
250,"FRA","France",88227.9,88222.05,88214.04,88586.55,88648.92,88718.4,89336.25,90371.43,90723.96,90841.86,90932.94,91043.28,91137.15,91109.34,91178.64,91099.53,90989.28,90943.92,91025.64,91058.04,91070.37,91078.83,91178.28,91166.49
258,"PYF","French Polynesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,"GAB","Gabon",4671.09,4670.73,4670.28,4692.69,4695.75,4695.12,4704.48,4704.03,4695.3,4710.96,4710.15,4711.05,4708.98,4708.71,4708.71,4708.71,4706.28,4705.74,4704.57,4695.12,4691.97,4691.7,4646.61,4646.61
270,"GMB","Gambia",6.39,6.39,6.3,6.3,6.3,6.21,6.12,6.12,6.12,5.85,5.76,5.76,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.06,2.97,2.97,2.97
268,"GEO","Georgia",5269.86,5269.59,5269.41,5339.61,5357.97,5391.63,5467.86,5540.04,5593.77,5616,5631.39,5641.02,5684.58,5693.31,5691.42,5686.74,5697.9,5709.24,5711.67,5717.43,5711.76,5713.38,5697.09,5697
276,"DEU","Germany",48031.56,48012.03,47986.92,48169.89,48113.55,48125.25,48175.65,48313.08,48453.48,48470.22,48375.9,48227.67,48055.32,48088.8,48147.3,48222.54,48274.65,48305.43,48363.12,48399.21,48413.97,48420.72,48413.88,48414.15
288,"GHA","Ghana",102.15,100.44,99.45,97.56,93.15,90.63,88.74,58.41,55.8,51.57,49.86,48.06,45.99,44.64,44.28,45.18,45.36,45,44.73,48.15,49.05,49.5,49.95,49.95
300,"GRC","Greece",7203.78,7203.42,7202.88,7311.51,7321.95,7327.62,7326.81,7336.98,7335,7336.44,7342.29,7347.42,7347.24,7349.76,7349.04,7350.21,7352.55,7357.32,7356.87,7357.14,7355.25,7354.44,7349.94,7345.62
304,"GRL","Greenland",34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25,34436.25
308,"GRD","Grenada",23.13,23.13,23.13,23.13,22.95,22.95,22.95,22.68,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.32,22.32,22.32,22.32,22.32,22.23,22.23,22.14,22.14
320,"GTM","Guatemala",4668.03,4664.97,4662.09,4748.67,4844.88,4903.47,5030.91,5086.8,5330.25,5417.19,5450.76,5542.74,5655.51,5726.07,5733.9,5746.41,5792.49,5818.14,5834.88,5852.07,5848.47,5831.28,5832.81,5826.42
831,"GGY","Guernsey",5.67,5.67,5.67,5.67,5.04,5.04,5.04,5.04,5.04,5.04,5.04,4.86,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77,4.77
324,"GIN","Guinea",14.67,14.67,14.67,15.3,15.3,15.84,17.1,17.1,17.37,16.65,17.1,17.01,16.92,16.56,16.02,15.21,14.76,13.5,13.14,12.51,11.52,10.8,10.35,10.17
624,"GNB","Guinea-Bissau",35.1,35.1,35.1,35.1,34.92,35.1,35.28,36,39.69,40.14,40.95,42.03,43.65,43.29,42.66,46.26,46.26,47.52,50.76,53.28,54.36,54.54,55.17,55.17
328,"GUY","Guyana",1162.8,1215.45,1215.18,1240.83,1256.4,1273.59,1282.77,1303.2,1304.46,1307.79,1308.87,1311.75,1366.38,1365.57,1364.13,1362.24,1361.25,1360.98,1361.7,1361.52,1362.51,1365.93,1366.56,1366.56
332,"HTI","Haiti",13915.8,13915.62,13915.53,13965.03,13985.28,13990.59,13993.92,13971.69,13974.93,13988.43,14005.53,14009.94,14013.99,14024.34,14034.06,14035.5,14052.69,14070.6,14084.55,14091.93,14102.46,14110.65,14137.65,14135.76
336,"VAT","Holy See",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,"HND","Honduras",4816.44,4815.99,4815.09,4936.5,5010.66,5047.11,5112.9,5271.66,5380.65,5457.51,5499.36,5508.54,5546.7,5545.17,5548.32,5558.58,5573.25,5592.96,5601.24,5628.33,5638.5,5645.97,5649.39,5648.85
344,"HKG","Hong Kong",41.4,41.31,41.22,40.68,38.43,33.75,31.95,25.56,19.53,19.44,19.98,18.72,18.45,16.56,16.56,16.47,15.03,14.85,15.12,15.21,15.12,15.12,15.12,15.12
348,"HUN","Hungary",6639.75,6639.03,6638.4,6644.79,6646.41,6651.9,6652.17,6655.5,6659.64,6654.96,6643.98,6633.9,6622.92,6622.02,6620.49,6621.3,6617.61,6617.07,6617.34,6618.06,6617.52,6617.43,6613.83,6613.74
352,"ISL","Iceland",24283.62,24283.44,24283.26,24283.17,24282.54,24281.64,24280.65,24280.02,24279.48,24279.48,24279.48,24279.48,24279.48,24279.48,24279.48,24279.48,24279.48,24279.48,24279.48,24279.48,24279.48,24279.48,24279.48,24279.48
356,"IND","India",124093.53,124078.68,124059.87,122994.45,122773.41,122698.17,122568.93,122602.68,122530.5,121799.25,121488.3,121188.87,120840.48,120801.6,120756.96,120779.37,120763.44,120767.4,120784.59,120563.55,120553.92,120575.07,120136.14,120119.04
360,"IDN","Indonesia",5993.91,5993.91,5993.82,6006.06,6006.06,6020.55,6022.17,6032.88,6062.22,6055.38,6051.24,6031.89,6040.62,6030.63,6047.91,6057.27,6088.23,6070.59,6072.12,6117.84,6161.67,6155.37,6147.18,6147.09
364,"IRN","Iran",44021.61,44020.98,44020.17,43971.57,43874.1,43777.89,43809.93,44094.06,44164.98,44182.71,44037.18,44069.22,44457.12,44487.54,44373.69,44404.47,44379.18,44435.88,44480.61,44617.41,44753.94,44746.92,44774.64,44772.48
368,"IRQ","Iraq",2745.36,2745.36,2745.36,2761.74,2784.51,2790.18,2793.6,2908.53,2919.78,2877.57,2868.93,2846.52,2812.32,2775.42,2755.17,2750.13,2745.27,2757.33,2768.76,2772.36,2773.26,2774.07,2779.11,2778.93
372,"IRL","Ireland",48267,48261.24,48252.69,48226.14,48180.42,48100.32,48080.34,47966.58,47804.4,47738.25,47648.52,47549.79,47418.93,47402.46,47380.41,47360.7,47325.42,47255.67,47236.5,47230.74,47225.7,47221.47,47183.67,47183.58
833,"IMN","Isle of Man",412.83,412.74,412.65,412.2,412.29,412.02,411.75,409.05,408.87,406.35,404.55,402.93,399.96,400.23,400.23,400.23,400.23,399.51,399.51,399.78,399.6,398.7,398.7,398.7
376,"ISR","Israel",16.47,16.47,16.47,16.56,17.01,17.01,17.01,18.54,18.54,18.36,18.36,18.36,18.45,19.26,19.62,19.44,19.26,19.62,19.71,19.8,19.62,21.78,21.87,21.87
380,"ITA","Italy",18283.32,18282.51,18280.89,18405.45,18479.79,18594.18,18893.16,19256.67,19383.21,19447.74,19485.54,19477.71,19495.62,19497.96,19484.64,19468.53,19446.48,19434.51,19451.16,19455.48,19463.85,19469.07,19506.51,19506.06
388,"JAM","Jamaica",509.13,508.95,508.68,525.42,532.17,532.53,588.33,592.47,695.88,726.66,732.15,723.69,731.97,749.88,751.23,756.27,766.44,769.14,783.54,785.61,795.6,801.9,830.52,828.9
392,"JPN","Japan",507.78,500.76,496.62,496.8,494.1,492.03,498.51,526.68,550.8,555.84,556.56,559.44,573.12,565.11,562.41,560.7,559.53,556.74,561.87,556.38,553.14,529.47,526.77,525.24
832,"JEY","Jersey",1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53,1.53
400,"JOR","Jordan",17.37,17.37,17.37,17.37,17.37,17.37,17.46,17.82,17.82,17.82,17.82,18.09,18.72,20.07,20.07,21.15,21.33,22.41,25.02,25.02,26.01,26.01,25.83,25.83
398,"KAZ","Kazakhstan",842732.91,842714.91,842697.9,842882.94,842561.37,841398.03,840685.41,835584.93,825059.7,822253.59,820739.07,820479.96,821727.99,825218.55,827234.91,827814.15,828301.95,827156.34,823981.77,823738.77,824585.04,823802.13,823666.68,823658.31
404,"KEN","Kenya",132583.23,132583.05,132582.69,132658.47,133511.4,134823.6,136256.04,138765.78,142427.52,143152.2,143600.58,144146.7,145439.91,145609.56,145599.03,145520.46,145271.25,145359.99,145338.66,145481.4,145531.89,145327.59,144995.94,144982.8
296,"KIR","Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,"XKX","Kosovo",568.08,568.08,568.08,570.33,571.14,577.62,581.76,591.39,597.78,599.85,601.38,600.66,598.23,598.86,596.61,594.81,590.67,589.32,589.32,589.77,589.86,589.86,589.32,589.14
414,"KWT","Kuwait",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,"KGZ","Kyrgyzstan",83233.62,83233.44,83232.81,83209.41,82768.05,82667.61,82517.94,81777.69,81619.47,81297,81093.15,81004.86,80685.72,80664.3,80480.61,80152.2,79995.42,80003.16,80033.31,80145.54,80100.81,80238.33,80158.05,80157.87
418,"LAO","Laos",601.56,601.56,601.56,586.08,592.47,597.33,602.46,609.48,609.84,617.58,618.57,619.02,618.84,620.55,621,622.62,624.51,630.99,640.89,641.52,642.24,644.85,641.61,641.61
428,"LVA","Latvia",3982.05,3982.05,3982.05,4069.89,4077.63,4097.07,4125.6,4243.5,4490.1,4524.3,4528.44,4551.84,4631.67,4646.43,4672.98,4715.28,4776.48,4791.51,4846.32,4899.33,4906.35,4900.68,4865.31,4865.31
422,"LBN","Lebanon",14.67,14.67,14.67,14.76,14.76,14.76,14.76,14.76,15.93,15.93,15.93,15.93,15.93,12.87,11.43,9.54,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63
426,"LSO","Lesotho",13648.59,13648.5,13648.14,13673.88,13671.27,13671.54,13660.29,13628.43,13414.41,13346.28,13302.27,13253.31,13222.26,13226.49,13229.37,13231.53,13225.59,13204.71,13201.56,13206.69,13203.9,13190.4,13136.94,13136.85
