"code","iso","country","TBN.raw.1990","TBN.raw.1991","TBN.raw.1992","TBN.raw.1993","TBN.raw.1994","TBN.raw.1995","TBN.raw.1996","TBN.raw.1997","TBN.raw.1998","TBN.raw.1999","TBN.raw.2000","TBN.raw.2001","TBN.raw.2002","TBN.raw.2003","TBN.raw.2004","TBN.raw.2005","TBN.raw.2006","TBN.raw.2007","TBN.raw.2008","TBN.raw.2009","TBN.raw.2010","TBN.raw.2011","TBN.raw.2012","TBN.raw.2013","TBN.raw.2014","TBN.raw.2015","TBN.raw.2016","TBN.raw.2017","TBN.raw.2018","TBN.raw.2019","TBN.raw.2020"
4,"AFG","Afghanistan",0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.0116312076544178,0.104368946220035,0.104368946220035,0.104368946220035,0.104368946220035,0.104368946220035,0.104368946220035,0.104368946220035,0.104368946220035,0.104368946220035,0.104368946220035,0.104368946220035
8,"ALB","Albania",0.991655913303435,0.991655913303435,0.991655913303435,0.991655913303435,0.991655913303435,0.991655913303435,1.31899154220485,3.43097626884432,3.55616174217203,3.55616174217203,5.36552968420381,5.36552968420381,5.36552968420381,5.38120793191203,5.60448172606276,6.28709860705072,7.97011772145617,9.82089555942952,11.1470653682874,13.5188457239756,13.5188457239756,13.7930220440364,14.2294287482677,15.1374982438179,15.5117898190169,15.5117898190169,15.5117898190169,15.5117898190169,15.5117898190169,17,17
12,"DZA","Algeria",6.30759881039253,6.30759881039253,6.30759881039253,6.30759881039253,6.31037658085233,6.31037658085233,6.31037658085233,6.31037658085233,6.31037658085233,6.31037658085233,6.31834975800487,6.31834975800487,7.09489875592296,7.09489875592296,7.27254567452883,7.33173096924071,7.33173096924071,7.33173096924071,7.33173096924071,7.33173096924071,7.34065674660105,7.34065674660105,7.34456668428022,7.34456668428022,7.34456668428022,7.34456668428022,7.34456668428022,7.34456668428022,7.34456668428022,7.34456668428022,7.34456668428022
20,"AND","Andorra",0,0,0,0,2.32273464858601,2.32273464858601,2.32273464858601,2.32273464858601,2.32273464858601,2.32273464858601,2.32273464858601,14.8418300121365,14.8418300121365,14.8418300121365,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
24,"AGO","Angola",5.79824319493889,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852,5.79824319493852
660,"AIA","Anguilla",0.407488255555031,0.407488255555031,0.407488255555031,0.407488255555031,0.443979352427667,0.443979352427667,0.443979352427667,0.443979352427667,0.443979352427667,0.443979352427667,0.443979352427667,0.443979352427667,0.443979352427667,0.443979352427667,0.443979352427667,0.443979352427667,0.443979352427667,0.443979352427667,0.453218938238491,0.453218938238491,0.453218938238491,0.453218938238491,0.453218938238491,0.453218938238491,0.453218938238491,0.453218938238491,0.453218938238491,0.453218938238491,0.453218938238491,0.453218938238491,0.453218938238491
28,"ATG","Antigua and Barbuda",5.34456609422768,5.34456609422768,5.34456609422768,5.34456609422768,5.34456609422768,5.34456609422768,5.34456609422768,5.34456609422768,5.34456609422768,5.34456609422768,5.34456609422768,5.34456609422768,5.34456609422768,5.34456609422768,5.34456609422768,5.34456609422768,15.1233810263192,15.1233810263192,15.1233810263192,15.3451485809117,15.3451485809117,15.3451485809117,15.3451485809117,15.3451485809117,15.3451485809117,15.3451485809117,15.3451485809117,15.3451485809117,15.3451485809117,15.3451485809117,15.3451485809117
32,"ARG","Argentina",3.76592446259294,3.86254665503242,3.89246062898702,4.04474384162981,4.17459469492867,4.62652882578018,4.72109164682669,4.80503289578868,5.02765322272885,5.05526478033632,5.42792251553749,5.73065210665602,5.93702926746161,6.00639258647194,6.26966834788418,6.51411903184546,6.65003507522458,6.73251391705718,6.73726466180856,6.7742302262559,6.79097900290014,6.79906143131297,6.80366599073599,6.83130401625701,6.84100942038062,6.88928586827647,7.01229223903973,7.01305831765296,7.04789812291535,7.08580230650962,7.08580230650962
51,"ARM","Armenia",NA,NA,7.85029723478219,7.85029723478219,16.9886570830221,16.9886570830221,16.9886570830221,16.9886570830221,16.9886570830221,16.9886570830221,16.9886570830221,16.9886570830221,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079,16.999309453079
533,"ABW","Aruba",0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,0.345999774377218,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115,10.0240265604115
