"code","iso","country","AMP.raw.1990","AMP.raw.1991","AMP.raw.1992","AMP.raw.1993","AMP.raw.1994","AMP.raw.1995","AMP.raw.1996","AMP.raw.1997","AMP.raw.1998","AMP.raw.1999","AMP.raw.2000","AMP.raw.2001","AMP.raw.2002","AMP.raw.2003","AMP.raw.2004","AMP.raw.2005","AMP.raw.2006","AMP.raw.2007","AMP.raw.2008","AMP.raw.2009","AMP.raw.2010","AMP.raw.2011","AMP.raw.2012","AMP.raw.2013","AMP.raw.2014","AMP.raw.2015","AMP.raw.2016","AMP.raw.2017","AMP.raw.2018","AMP.raw.2019","AMP.raw.2020"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ALB","Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.7023360009506,54.7023360009506,54.7023360009506,57.012724223672,57.012724223672,57.012724223672,57.012724223672,178.803764944862,178.80376494554,178.80376494554,178.80376494554,178.80376494554,178.80376494554,178.80376494554,178.80376494554,178.80376494554,178.80376494554
12,"DZA","Algeria",31.1975839230521,31.1975839230521,31.1975839230521,31.1975839230521,31.1975839230521,31.1975839230521,31.1975839230521,31.1975839230521,31.1975839230521,31.1975839230521,31.1975839230521,31.1975839230521,51.9223752200556,51.9223752200556,83.9536419661049,83.9536419661049,83.9536419661049,83.9536419661049,83.9536419661049,83.9536419661049,83.9536419661049,83.9536419661049,84.6136419661045,84.6136419661045,84.6136419661045,84.6136419661045,84.6136419661045,84.6136419661045,84.6136419661045,84.6136419661045,84.6136419661045
20,"AND","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"AGO","Angola",1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221,1.40093999612221
660,"AIA","Anguilla",4.90479312188412,4.90479312188412,4.90479312188412,4.90479312188412,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,27.7598832139361,37.7636945386953,37.7636945386953
28,"ATG","Antigua and Barbuda",18.5231817016185,18.5231817016185,18.5231817016185,18.5231817016185,18.5231817016185,18.5231817016185,18.5231817016185,18.5231817016185,18.5231817016185,18.5231817016185,34.7677014314031,34.7677014314031,34.7677014314031,34.7677014314031,34.7677014314031,34.7677014314031,134.059807371464,134.059807371464,134.059807371464,134.059807370398,134.059807370398,134.059807370398,134.059807370398,134.059807370398,134.059807370398,134.059807370398,134.059807370398,134.059807370398,134.059807370398,134.059807370398,134.059807370398
32,"ARG","Argentina",874.739828501599,882.963751381933,882.963751387081,882.963751384663,882.963751387081,882.963751384663,882.963751384663,882.963749611009,883.266803435717,3493.84582926453,3503.14562825868,3503.1456280594,7027.96694316358,7117.332757704,7117.33275770158,7117.33275770158,7574.42481308326,7574.42481308084,7574.4248130757,7575.45190531022,7575.45190531263,7575.45190531022,7582.5256583828,9857.85064738338,40532.8157071061,40532.8157071061,40583.3338450922,40583.3338450946,40583.3338450946,124454.421960851,124454.421960851
51,"ARM","Armenia",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,"ABW","Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"AUS","Australia",1480.26169606333,1744.9510990507,1758.12268490943,1766.66367360495,1769.8706157462,1769.8706157462,1799.61705901671,3035.7141305089,3715.26843420847,6026.40914244328,6587.9804331249,7399.42010102421,7708.63516398434,100791.698056229,100800.48719978,447219.197403284,451570.173193768,458252.951227723,462907.719250388,463394.691571592,498170.346325063,498526.783795207,501164.264119656,885078.286420017,886308.93322742,886470.074999974,886472.235058818,903229.663795137,914255.489723037,3281397.81706779,3281397.81706779
40,"AUT","Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"AZE","Azerbaijan",NA,NA,0.847940457878806,0.847940457878806,0.847940457878806,0.847940457878806,0.847940457878806,0.847940457878806,0.847940457878806,0.847940457878806,0.847940457878806,0.847940457878806,474.299785512162,474.299785512162,474.299785512162,474.299785512162,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555,479.584947345555
44,"BHS","Bahamas",692.940680194714,692.940680194714,692.940680194714,692.940680194714,692.940680194714,692.940680196611,692.940680196611,692.940680196611,692.940680194714,692.940680194714,692.940680194714,692.940680194714,692.940680194714,825.450041996696,825.450041996696,825.450041996696,825.450041996696,825.450041996696,825.450041996696,1030.04813127475,1156.85972549647,1163.84830386738,1163.84830386738,1163.84830386738,1163.84830386738,1163.84830386738,44370.1758207982,44370.1758207982,44370.1758207982,44370.1758207982,44370.1758207982
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,33.7164407846496,33.7164407846496,33.7164407846496,33.7164407846496,33.7164407846496,36.198500883883,64.9443873913149,64.9443873913149,64.9443873913149,70.2932565284275,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266,78.0932565284266
50,"BGD","Bangladesh",0,0,0,0,0,0,0,0,0,0,0,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1635.92783268824,1642.04192910764,1642.04192910764,3370.27354103774,3370.27354103774,3370.27354103774,3370.27354103774,3370.27354103774,3370.27354103774
52,"BRB","Barbados",10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,10.8777970199417,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418,11.2077970199418
112,"BLR","Belarus",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"BEL","Belgium",52.4608726247818,52.4608726247818,52.4608726247818,52.4608726247818,52.8250572945615,52.8250572945615,52.8250572945615,52.8250572945615,52.830920223138,52.830920223138,52.830920223138,52.830920223138,52.830920223138,52.8309202645915,52.8309202643006,52.8309202643006,366.025314183006,366.025314183006,366.025314183006,366.025314183006,366.025314183006,1256.54789561389,1256.54789561389,1256.70901086455,1256.70901086455,1256.70901086455,1256.70901086455,1256.70901086455,1256.70901086455,1256.70901086455,1256.70901086455
84,"BLZ","Belize",90.5930919440782,90.5930919440782,90.5930919440782,90.5930919440782,418.255736219407,418.255736219407,418.255736219407,1153.49109786103,1153.49109786103,1906.17092536308,1906.17092536308,2407.467634816,2407.46763481671,2439.35188214017,2493.97119753194,2493.97119753194,2493.97119753194,2493.97119753194,2493.97119753194,2493.97119753194,2493.97119753194,2493.97174617401,2493.97174617401,3662.48965445205,3662.48965445205,3662.48965445205,3662.48965445205,3662.48965445205,3662.48965445205,3662.48965445205,3662.48965445205
204,"BEN","Benin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
