"code","iso","country","URP.raw.1950","URP.raw.1955","URP.raw.1960","URP.raw.1965","URP.raw.1970","URP.raw.1975","URP.raw.1980","URP.raw.1985","URP.raw.1990","URP.raw.1995","URP.raw.2000","URP.raw.2005","URP.raw.2010","URP.raw.2015","URP.raw.2020","URP.raw.2025","URP.raw.2030","URP.raw.2035","URP.raw.2040","URP.raw.2045"
531,"CUW","Curacao",70.566,72.687,74.71,76.631,78.448,80.161,81.769,83.274,84.678,87.68,90.752,90.534,89.905,89.352,89.062,89.055,89.33,89.87,90.577,91.249
196,"CYP","Cyprus",28.384,32.334,35.628,38.188,40.761,47.277,58.614,64.678,66.776,68.038,68.648,68.268,67.551,66.946,66.821,67.198,68.067,69.407,71.12,72.828
203,"CZE","Czech Republic",54.18,56.884,59.548,62.016,64.402,69.917,75.167,75.365,75.22,74.643,73.988,73.602,73.255,73.477,74.061,74.935,76.073,77.442,78.999,80.633
180,"COD","Dem. Rep. Congo",19.1,20.654,22.3,23.434,24.608,25.821,27.072,28.513,30.633,32.838,35.122,37.481,40.013,42.74,45.638,48.669,51.762,54.847,57.895,60.884
208,"DNK","Denmark",67.983,69.619,73.687,77.048,79.737,82.146,83.723,84.351,84.843,84.979,85.1,85.856,86.795,87.526,88.116,88.759,89.446,90.164,90.901,91.634
262,"DJI","Djibouti",39.81,45.011,50.325,56.109,61.777,67.142,72.096,74.925,75.957,76.3,76.532,76.761,76.999,77.417,78.062,78.92,79.969,81.184,82.417,83.587
212,"DMA","Dominica",34.697,36.286,37.846,38.18,38.683,42.671,46.759,54.71,63.079,64.831,65.265,66.601,68.094,69.579,71.09,72.619,74.155,75.688,77.193,78.633
214,"DOM","Dominican Republic",23.741,26.843,30.191,35.052,40.274,45.729,51.29,53.868,55.226,57.598,61.753,67.37,73.753,78.566,82.54,85.543,87.765,89.383,90.53,91.331
218,"ECU","Ecuador",28.28,31.009,33.878,36.64,39.278,42.363,46.961,51.215,55.09,57.766,60.299,61.711,62.69,63.398,64.166,65.28,66.732,68.49,70.505,72.675
818,"EGY","Egypt",31.928,34.837,37.864,39.686,41.477,43.291,43.858,43.938,43.478,42.814,42.797,43.027,43.019,42.785,42.783,43.444,44.773,46.769,49.415,52.508
222,"SLV","El Salvador",36.509,37.427,38.354,38.931,39.439,41.551,44.099,46.677,49.274,53.988,58.912,61.648,65.452,69.7,73.444,76.576,79.153,81.235,82.88,84.243
226,"GNQ","Equatorial Guinea",15.463,20.355,25.537,26.502,26.954,27.41,27.872,29.94,34.745,40.494,49.092,57.74,65.94,70.616,73.1,75.29,77.207,78.874,80.31,81.589
232,"ERI","Eritrea",7.1,8.351,9.799,11.466,12.678,13.511,14.39,15.757,18.905,22.514,26.587,31.099,35.175,38.206,41.347,44.557,47.786,50.964,54.056,57.119
233,"EST","Estonia",49.67,53.623,57.533,61.348,64.947,67.589,69.711,70.767,71.231,70.3,69.368,68.735,68.094,68.416,69.229,70.235,71.421,72.769,74.259,75.824
748,"SWZ","Eswatini",2.2,2.526,3.913,6.494,9.705,14.004,16.478,18.266,20.202,22.286,22.686,22.038,22.48,23.3,24.171,25.245,26.535,28.056,29.824,31.77
231,"ETH","Ethiopia",4.6,5.444,6.433,7.587,8.588,9.46,10.41,11.453,12.621,13.827,14.74,15.7,17.319,19.428,21.695,24.173,26.856,29.724,32.74,35.84
234,"FRO","Faeroe Islands",17.365,18.599,21.383,25.553,27.951,30.326,31.186,30.766,30.594,34.071,36.337,39.781,40.926,41.638,42.398,43.437,44.77,46.399,48.32,50.491
238,"FLK","Falkland Islands",51.053,50.774,50.495,51.847,54.041,56.33,58.696,64.012,74.15,65.987,67.606,70.828,73.666,76.268,78.508,80.414,82.023,83.369,84.499,85.548
242,"FJI","Fiji",24.352,26.933,29.681,32.582,34.758,36.721,37.769,38.523,41.611,45.496,47.908,49.871,52.171,54.726,57.247,59.666,61.965,64.135,66.172,68.072
246,"FIN","Finland",43.004,49.133,55.29,59.658,63.704,67.831,71.727,75.808,79.367,80.963,82.183,82.905,83.77,85.225,85.517,85.978,86.598,87.356,88.227,89.162
250,"FRA","France",55.232,58.164,61.88,67.071,71.055,72.926,73.282,73.65,74.056,74.912,75.871,77.13,78.369,79.655,80.975,82.312,83.643,84.938,86.153,87.285
258,"PYF","French Polynesia",33.3,37.684,42.281,48.178,55.162,58.252,59.003,58.635,57.852,56.637,56.047,57.417,60.317,61.683,61.975,62.564,63.487,64.729,66.272,68.076
266,"GAB","Gabon",11.4,14.135,17.398,23.775,32,42.971,54.682,62.402,69.143,74.797,78.879,82.452,85.533,88.118,90.092,91.568,92.663,93.462,94.033,94.522
270,"GMB","Gambia",10.265,11.163,12.129,14.533,19.496,24.426,28.414,33.019,38.312,43.362,47.868,52.02,55.662,59.228,62.582,65.678,68.494,71.016,73.229,75.283
268,"GEO","Georgia",36.91,40.067,43.069,45.534,48.006,50.344,52.497,54.194,55.038,53.841,52.638,53.605,55.535,57.448,59.453,61.603,63.871,66.221,68.602,70.929
276,"DEU","Germany",67.944,69.691,71.384,71.955,72.274,72.56,72.844,72.711,73.118,73.922,74.965,75.98,76.966,77.2,77.453,78.037,78.931,80.1,81.497,82.963
288,"GHA","Ghana",15.444,19.089,23.252,26.067,28.958,30.049,31.163,32.896,36.441,40.14,43.929,47.308,50.713,54.086,57.349,60.463,63.39,66.091,68.56,70.923
300,"GRC","Greece",52.151,54.08,55.936,59.969,64.22,66.94,69.343,70.518,71.467,72.119,72.716,74.452,76.292,78.046,79.715,81.292,82.772,84.147,85.413,86.594
304,"GRL","Greenland",49,53.801,58.534,66.05,72.744,74.389,76.121,77.961,79.698,80.902,81.6,82.858,84.383,86.071,87.282,88.353,89.298,90.131,90.864,91.518
308,"GRD","Grenada",28.495,29.405,30.332,31.274,32.212,32.561,32.912,33.177,33.427,34.47,35.698,35.895,35.865,35.997,36.537,37.491,38.871,40.688,42.848,45.052
320,"GTM","Guatemala",25.064,27.992,31.121,33.989,35.545,37.125,38.724,40.347,41.992,43.654,45.332,46.913,48.403,49.971,51.836,53.996,56.423,59.073,61.846,64.566
831,"GGY","Guernsey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,"GIN","Guinea",6.711,8.402,10.472,12.978,15.977,19.515,23.617,26.621,28.026,29.475,30.869,32.257,33.678,35.141,36.875,38.963,41.405,44.189,47.264,50.448
624,"GNB","Guinea-Bissau",10.014,11.688,13.6,14.349,15.132,15.95,17.804,23.704,30.83,34.371,36.243,38.157,40.111,42.123,44.196,46.322,48.489,50.683,52.88,55.066
328,"GUY","Guyana",28.023,28.521,29.009,29.209,29.425,29.967,30.488,30.033,29.583,29.137,28.694,27.822,26.634,26.441,26.786,27.484,28.552,30.01,31.87,33.881
332,"HTI","Haiti",12.169,13.792,15.593,17.58,19.762,20.404,20.541,23.261,28.51,32.59,35.6,42.638,47.509,52.427,57.088,61.266,64.923,68.041,70.618,72.825
336,"VAT","Holy See",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
340,"HND","Honduras",17.578,20.038,22.747,25.704,28.902,32.11,34.87,37.735,40.46,42.941,45.458,48.585,51.885,55.165,58.359,61.417,64.307,66.998,69.451,71.737
344,"HKG","Hong Kong",85.2,85.2,85.2,86.422,87.729,89.695,91.478,92.92,99.517,100,100,100,100,100,100,100,100,100,100,100
348,"HUN","Hungary",53.023,54.435,55.911,58.022,60.112,62.231,64.191,65.095,65.838,65.209,64.575,66.365,68.911,70.5,71.942,73.498,75.142,76.844,78.57,80.248
352,"ISL","Iceland",72.8,76.76,80.3,82.72,84.9,86.669,88.26,89.57,90.75,91.63,92.401,93.037,93.574,93.7,93.898,94.147,94.44,94.769,95.126,95.486
356,"IND","India",17.042,17.582,17.924,18.785,19.76,21.332,23.098,24.348,25.547,26.607,27.667,29.235,30.93,32.777,34.926,37.383,40.142,43.172,46.369,49.603
360,"IDN","Indonesia",12.4,13.455,14.586,15.789,17.071,19.317,22.104,26.089,30.584,36.076,42.002,45.942,49.914,53.313,56.641,59.828,62.841,65.646,68.207,70.557
364,"IRN","Iran",27.549,30.554,33.735,37.068,41.212,45.747,49.693,53.395,56.33,60.236,64.042,67.558,70.626,73.358,75.874,78.128,80.129,81.889,83.424,84.755
368,"IRQ","Iraq",35.122,37.631,42.899,50.651,56.154,61.379,65.521,68.767,69.706,68.78,68.496,68.766,69.103,69.921,70.893,72.117,73.564,75.2,76.975,78.764
372,"IRL","Ireland",40.088,43.708,45.184,46.233,51.276,53.634,55.333,56.275,56.929,57.949,59.155,60.477,61.542,62.538,63.653,65.065,66.751,68.675,70.786,72.968
833,"IMN","Isle of Man",52.93,54.028,55.123,56.305,55.831,52.403,51.784,51.765,51.746,51.783,51.823,51.905,51.994,52.245,52.898,53.951,55.397,57.225,59.319,61.395
376,"ISR","Israel",71,71,76.848,80.94,84.195,86.643,88.583,89.828,90.359,90.866,91.203,91.518,91.826,92.179,92.587,93.039,93.525,94.033,94.522,94.973
380,"ITA","Italy",54.104,56.855,59.361,61.843,64.272,65.643,66.64,66.826,66.726,66.922,67.222,67.738,68.327,69.565,71.039,72.614,74.274,75.992,77.735,79.455
388,"JAM","Jamaica",24.116,28.736,33.769,37.499,41.324,44.013,46.739,48.424,49.444,50.615,51.814,52.811,53.743,54.833,56.311,58.16,60.349,62.827,65.448,67.99
392,"JPN","Japan",53.402,58.421,63.272,67.866,71.877,75.716,76.175,76.712,77.339,78.016,78.649,85.978,90.812,91.381,91.782,92.226,92.704,93.207,93.724,94.236
832,"JEY","Jersey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,"JOR","Jordan",37,43.233,50.879,54.262,55.971,57.65,60.029,66.996,73.291,78.207,78.27,79.485,86.088,90.256,91.418,92.385,93.187,93.851,94.399,94.859
398,"KAZ","Kazakhstan",36.358,40.43,44.198,47.047,50.236,52.564,54.142,56.01,56.266,55.921,56.098,56.463,56.827,57.191,57.671,58.613,60.024,61.877,64.123,66.639
404,"KEN","Kenya",5.59,6.419,7.362,8.605,10.295,12.914,15.583,16.079,16.748,18.263,19.892,21.675,23.571,25.658,27.995,30.588,33.427,36.479,39.664,42.942
296,"KIR","Kiribati",11,13.426,16.29,19.625,24.088,29.606,32.284,33.541,34.987,36.409,42.958,43.551,47.39,51.619,55.594,59.115,62.169,64.761,66.905,68.764
689,"XKX","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,"KWT","Kuwait",61.5,69.346,74.893,79.273,85.661,89.384,94.781,97.903,97.974,98.096,99,100,100,100,100,100,100,100,100,100
417,"KGZ","Kyrgyzstan",26.481,30.587,34.181,35.851,37.466,38.186,38.627,38.377,37.777,36.349,35.298,35.29,35.306,35.777,36.856,38.557,40.894,43.853,47.077,50.325
418,"LAO","Laos",7.239,7.585,7.946,8.323,9.625,11.081,12.377,13.804,15.437,17.378,21.977,27.186,30.064,33.108,36.29,39.566,42.891,46.207,49.439,52.566
428,"LVA","Latvia",46.425,49.51,52.867,56.832,60.713,64.157,67.095,68.56,69.25,68.75,68.067,68,67.841,67.98,68.315,68.972,69.94,71.199,72.722,74.361
422,"LBN","Lebanon",32,36.303,42.343,50.935,59.475,66.978,73.672,79.422,83.12,84.82,86,86.627,87.334,88.106,88.925,89.774,90.604,91.374,92.086,92.744
426,"LSO","Lesotho",1.75,2.049,3.512,6.366,8.608,10.822,11.45,11.752,13.967,16.955,19.548,22.249,24.798,26.908,29.028,31.39,34.001,36.85,39.908,43.097
430,"LBR","Liberia",12.97,15.592,18.632,22.108,26.025,30.382,35.167,42.373,55.422,45.96,44.331,46.051,47.813,49.82,52.089,54.596,57.3,60.123,62.913,65.62
434,"LBY","Libya",19.547,23.208,27.323,33.666,49.671,62.785,70.094,75.45,75.723,75.994,76.387,77.08,78.052,79.27,80.691,82.204,83.631,84.964,86.207,87.363
438,"LIE","Liechtenstein",19.881,20.356,20.437,19.471,18.453,18.324,18.274,17.619,16.928,16.482,15.13,14.739,14.464,14.303,14.416,14.808,15.499,16.519,17.836,19.248
440,"LTU","Lithuania",28.794,34.052,39.46,44.45,49.555,55.685,61.158,65.038,67.583,67.285,66.986,66.635,66.757,67.23,68.046,69.19,70.638,72.35,74.272,76.245
442,"LUX","Luxembourg",67.242,68.41,69.556,71.958,74.374,77.297,80.042,80.669,80.947,82.893,84.216,86.598,88.547,90.179,91.453,92.445,93.211,93.794,94.252,94.674
446,"MAC","Macao",96.89,96.169,95.289,96.177,97.032,97.891,98.519,99.377,99.763,99.91,100,100,100,100,100,100,100,100,100,100
450,"MDG","Madagascar",7.8,9.122,10.642,12.379,14.1,16.334,18.524,20.933,23.566,25.796,27.121,28.814,31.938,35.193,38.534,41.904,45.24,48.451,51.626,54.788
454,"MWI","Malawi",3.506,3.924,4.39,4.908,6.053,7.652,9.05,10.163,11.56,13.263,14.61,15.054,15.544,16.313,17.427,18.933,20.886,23.32,26.033,28.942
458,"MYS","Malaysia",20.361,23.417,26.598,29.913,33.454,37.652,42.044,45.893,49.794,55.688,61.977,66.594,70.912,74.213,77.16,79.67,81.786,83.549,84.998,86.206
462,"MDV","Maldives",10.612,10.889,11.173,11.458,11.893,17.304,22.25,25.491,25.84,25.638,27.706,33.75,36.434,38.529,40.669,42.845,45.046,47.261,49.471,51.675
466,"MLI","Mali",8.472,9.692,11.066,12.608,14.33,16.244,18.484,21.013,23.322,25.519,28.356,32.06,35.999,39.991,43.909,47.669,51.187,54.372,57.378,60.331
470,"MLT","Malta",88.858,89.837,90.129,89.825,89.699,89.742,89.785,89.828,90.381,90.946,92.368,93.645,94.072,94.414,94.744,95.072,95.394,95.711,96.019,96.314
584,"MHL","Marshall Islands",23.337,29.081,35.584,42.663,53.492,60.632,58.298,61.945,65.054,66.727,68.58,71.138,73.568,75.811,77.794,79.539,81.065,82.392,83.563,84.666
478,"MRT","Mauritania",3.102,4.638,6.88,10.09,14.564,20.569,27.371,34.994,39.323,38.705,38.091,42.111,46.588,51.089,55.327,59.201,62.662,65.68,68.238,70.604
480,"MUS","Mauritius",29.327,31.619,35.111,38.767,42.556,43.443,42.351,42.325,43.9,43.284,42.67,42.112,41.555,41,40.76,41.043,41.85,43.19,45.069,47.276
484,"MEX","Mexico",42.655,46.68,50.753,54.931,59.021,62.759,66.339,68.95,71.419,73.368,74.722,76.308,77.815,79.285,80.731,82.14,83.501,84.799,86.018,87.153
583,"FSM","Micronesia",20,21.133,22.312,23.537,24.808,25.858,26.445,26.149,25.818,25.068,22.33,22.33,22.298,22.456,22.933,23.744,24.911,26.463,28.29,30.191
498,"MDA","Moldova",18.5,20.66,23.424,27.566,32.068,36.222,40.387,44.176,46.762,46.294,44.589,42.775,42.62,42.49,42.849,43.852,45.501,47.793,50.688,53.8
492,"MCO","Monaco",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
496,"MNG","Mongolia",20,26.619,35.679,42.114,45.052,48.656,52.083,55.04,57.033,56.805,57.133,62.494,67.567,68.23,68.657,69.452,70.611,72.103,73.878,75.832
499,"MNE","Montenegro",12.723,15.515,18.788,22.566,26.853,31.622,36.813,42.325,48.037,53.365,58.544,62.465,64.14,65.806,67.488,69.179,70.869,72.546,74.19,75.77
504,"MAR","Morocco",26.184,27.74,29.357,31.862,34.477,37.714,41.21,44.779,48.391,51.692,53.335,55.174,58.018,60.809,63.532,66.16,68.672,71.042,73.244,75.284
508,"MOZ","Mozambique",5.472,6.133,6.868,7.86,8.99,10.869,13.158,18.326,25,27.495,29.098,29.999,31.83,34.4,37.074,39.904,42.874,45.953,49.09,52.205
104,"MMR","Myanmar",16.158,17.616,19.226,20.971,22.83,23.922,23.973,24.381,25.243,26.124,27.025,27.946,28.885,29.858,31.141,32.846,34.99,37.587,40.615,43.848
516,"NAM","Namibia",13.408,15.526,17.909,20.035,22.292,23.651,25.066,26.366,27.656,29.813,32.373,36.632,41.616,46.9,52.033,56.681,60.762,64.233,67.077,69.492
520,"NRU","Nauru",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
524,"NPL","Nepal",2.677,3.053,3.48,3.737,3.956,4.83,6.091,7.386,8.854,10.883,13.397,15.149,16.768,18.557,20.576,22.838,25.35,28.099,31.036,34.136
528,"NLD","Netherlands",56.136,57.98,59.752,60.753,61.663,63.183,64.745,66.719,68.684,72.809,76.795,82.63,87.134,90.173,92.236,93.708,94.751,95.484,95.989,96.332
540,"NCL","New Caledonia",24.589,30.602,37.36,44.646,51.232,55.165,57.426,58.834,59.577,60.288,61.919,63.965,67.102,69.379,71.518,73.486,75.289,76.934,78.426,79.802
554,"NZL","New Zealand",72.523,73.627,75.998,78.891,81.106,82.774,83.428,83.673,84.742,85.553,86.021,86.341,86.16,86.341,86.699,87.203,87.835,88.576,89.401,90.256
558,"NIC","Nicaragua",35.196,37.363,39.581,42.707,47.03,48.898,50.292,51.684,53.075,54.437,55.185,55.935,56.917,57.895,59.012,60.475,62.263,64.341,66.658,69.079
562,"NER","Niger",4.857,5.306,5.793,6.809,8.794,11.419,13.443,14.536,15.368,15.773,16.186,16.242,16.221,16.247,16.626,17.428,18.695,20.492,22.868,25.552
566,"NGA","Nigeria",9.35,12.055,15.41,16.551,17.76,19.78,21.97,25.635,29.68,32.205,34.84,39.074,43.48,47.838,51.958,55.762,59.189,62.184,64.856,67.441
570,"NIU","Niue",21.5,21.503,21.506,21.509,21.095,23.355,27.031,31.048,30.895,31.452,33.069,35.212,38.68,42.568,46.202,49.51,52.452,55.002,57.192,59.309
408,"PRK","North Korea",31,35.463,40.195,45.091,54.2,56.7,56.9,57.644,58.384,59.018,59.412,59.805,60.377,61.277,62.381,63.815,65.551,67.553,69.764,72.022
807,"MKD","North Macedonia",23.431,28.429,34.02,40.355,47.079,50.569,53.469,55.696,57.789,59.587,58.548,57.532,57.089,57.408,58.482,60.285,62.749,65.404,67.967,70.426
578,"NOR","Norway",50.458,50.223,49.92,57.568,65.396,68.187,70.545,71.31,71.956,73.787,76.02,77.675,79.102,81.091,82.974,84.632,86.083,87.345,88.436,89.379
512,"OMN","Oman",8.6,11.961,16.4,22.338,29.665,38.213,47.562,57.079,66.102,71.669,71.569,72.4,75.161,81.35,86.276,89.547,91.687,93.06,93.897,94.409
