"code","iso","country","WTA.raw.1992","WTA.raw.1993","WTA.raw.1994","WTA.raw.1995","WTA.raw.1996","WTA.raw.1997","WTA.raw.1998","WTA.raw.1999","WTA.raw.2000","WTA.raw.2001","WTA.raw.2002","WTA.raw.2003","WTA.raw.2004","WTA.raw.2005","WTA.raw.2006","WTA.raw.2007","WTA.raw.2008","WTA.raw.2009","WTA.raw.2010","WTA.raw.2011","WTA.raw.2012","WTA.raw.2013","WTA.raw.2014","WTA.raw.2015"
246,"FIN","Finland",31359.87,31359.69,31359.51,30709.44,30503.79,30513.96,30556.44,29462.04,28997.46,27908.73,27473.76,27117.63,26054.01,25986.87,25859.16,25350.3,24912.81,24532.65,24575.4,24608.79,24590.61,24521.04,24163.38,24165.27
250,"FRA","France",2182.14,2187.36,2185.83,2197.26,2208.15,2218.14,2220.66,2227.68,2223.81,2224.44,2219.94,2213.01,2308.59,2308.41,2307.15,2307.42,2307.6,2308.32,2315.61,2315.61,2312.64,2305.98,2299.41,2298.06
258,"PYF","French Polynesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,"GAB","Gabon",292.86,292.77,292.77,288.81,261.63,220.77,202.41,199.98,199.53,199.44,195.57,195.57,192.51,192.69,192.87,192.96,192.78,192.42,191.61,190.17,190.26,189.99,189.45,189.45
270,"GMB","Gambia",44.64,44.64,44.64,44.82,44.82,44.82,44.91,44.91,45.09,45.09,45.09,45.09,43.47,43.29,43.29,43.29,43.2,42.66,42.21,42.21,42.21,42.21,42.21,42.03
268,"GEO","Georgia",87.48,87.48,87.48,87.39,87.39,87.57,88.56,90,92.25,93.24,94.77,94.95,95.04,95.22,95.49,95.4,95.22,95.4,95.31,95.49,95.49,95.49,96.3,96.3
276,"DEU","Germany",1257.66,1257.57,1257.12,1259.91,1264.41,1263.6,1264.32,1264.32,1264.5,1265.85,1267.11,1266.75,1268.1,1268.19,1269.36,1272.96,1274.31,1277.46,1277.82,1277.01,1276.29,1274.67,1266.03,1265.94
288,"GHA","Ghana",733.68,733.68,733.68,728.64,679.86,671.85,645.93,170.73,129.42,127.08,126.18,122.31,115.2,114.75,114.75,110.7,107.19,106.29,106.38,105.48,85.5,45.36,44.28,44.28
300,"GRC","Greece",267.84,267.84,267.75,268.65,268.56,268.47,268.47,268.92,269.1,270.27,270.36,270,269.37,268.65,268.47,268.74,270.81,271.53,270.81,270.36,270.36,270.36,269.19,269.1
304,"GRL","Greenland",1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59,1084.59
308,"GRD","Grenada",0.63,0.63,0.63,0.63,0.63,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54,0.54
320,"GTM","Guatemala",225.72,224.91,224.01,221.58,221.22,219.06,217.89,216.63,213.93,210.06,208.26,204.12,203.76,201.24,197.73,196.74,193.77,190.89,189,188.55,186.66,184.86,183.06,182.34
831,"GGY","Guernsey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,"GIN","Guinea",29.43,29.43,29.43,28.98,28.98,28.98,28.98,28.53,30.42,30.6,31.32,32.4,30.87,26.19,17.37,13.68,11.7,11.7,11.79,11.79,11.7,11.61,11.61,11.61
624,"GNB","Guinea-Bissau",19.71,19.71,19.71,19.71,19.71,19.71,19.98,19.98,24.39,25.92,26.01,26.01,23.76,24.3,24.3,24.75,24.66,24.66,24.66,25.56,25.56,25.56,25.83,25.83
328,"GUY","Guyana",1054.35,1114.65,1114.38,1182.33,1215.9,1247.49,1263.87,1305.18,1302.66,1301.67,1293.66,1297.35,1419.66,1414.71,1413,1412.55,1414.44,1414.62,1415.7,1414.53,1411.11,1410.48,1410.57,1410.57
332,"HTI","Haiti",2954.25,2952.45,2951.01,2958.57,2957.85,2964.06,2982.15,2981.43,2985.84,2979.54,2972.07,2975.58,2975.76,2971.26,2968.11,2963.97,2962.17,2957.49,2961.81,2962.71,2962.35,2957.94,2959.11,2957.31
336,"VAT","Holy See",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,"HND","Honduras",176.85,176.76,176.76,157.41,158.58,157.14,158.58,156.51,160.11,154.98,154.62,149.22,149.67,149.58,150.03,150.12,149.67,150.12,151.74,151.83,151.65,151.74,153,153
344,"HKG","Hong Kong",5.13,5.04,5.04,5.22,5.22,5.13,5.04,5.31,5.31,5.31,5.31,5.22,5.22,5.22,5.49,6.66,7.11,7.11,7.11,7.74,8.91,8.91,8.82,8.73
348,"HUN","Hungary",538.38,538.2,538.02,535.05,533.43,533.07,532.35,531.9,531.09,530.01,528.48,528.39,526.41,525.78,525.33,526.5,525.78,528.48,530.55,536.4,536.58,536.49,532.89,532.8
352,"ISL","Iceland",7293.96,7293.96,7293.96,7293.96,7293.96,7293.87,7293.87,7293.87,7293.78,7293.78,7293.78,7293.78,7293.78,7293.78,7293.78,7293.78,7293.78,7293.78,7293.78,7293.78,7293.78,7293.78,7293.78,7293.78
356,"IND","India",18569.16,18569.16,18568.98,18609.03,18670.5,18692.1,18820.8,18853.56,18878.49,18880.83,18881.28,18885.33,18893.88,18905.4,18916.38,18947.97,19068.93,19086.75,19084.68,19069.83,19083.87,19087.74,19047.33,19046.34
360,"IDN","Indonesia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,"IRN","Iran",908.64,908.64,908.64,917.64,927.54,927.72,938.97,1012.95,1013.13,1013.13,1012.95,1013.22,1012.95,1012.95,1014.66,1016.82,1049.67,1059.66,1060.11,1056.87,1058.94,1065.69,1066.41,1066.05
368,"IRQ","Iraq",189.27,189.27,189.27,190.35,193.05,193.59,196.56,228.15,237.51,239.58,247.77,256.59,267.48,267.3,292.23,299.97,312.66,326.61,335.07,336.78,347.58,348.3,348.21,348.21
372,"IRL","Ireland",8692.65,8692.65,8692.56,8700.75,8712.63,8710.38,8714.88,8702.1,8691.3,8689.59,8689.05,8698.14,8698.05,8703.54,8704.89,8707.23,8707.86,8710.02,8711.46,8716.14,8720.19,8719.92,8715.69,8715.69
833,"IMN","Isle of Man",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,"ISR","Israel",0.63,0.63,0.63,0.63,0.72,0.72,0.72,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
380,"ITA","Italy",359.37,359.28,359.19,360.9,360.81,360.27,359.73,357.84,357.12,357.75,358.2,357.93,357.48,356.85,357.39,357.75,360.81,360.09,360.36,359.73,359.55,359.46,360,359.1
388,"JAM","Jamaica",65.16,64.53,64.08,63,62.28,62.19,62.55,63,70.92,73.17,73.08,72.54,72.54,72.45,72.54,71.46,71.46,71.64,71.91,72.36,73.08,73.35,74.61,74.43
392,"JPN","Japan",708.75,708.66,708.57,714.15,714.6,716.04,729.99,750.24,756.99,756.63,756.63,760.05,767.79,767.43,769.86,772.47,775.62,782.1,785.16,789.21,794.25,799.2,804.51,804.33
832,"JEY","Jersey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
400,"JOR","Jordan",0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.54,0.54,0.54,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63
398,"KAZ","Kazakhstan",11686.41,11686.41,11686.41,11686.5,11689.11,11691.81,11690.19,11700.9,11702.52,11696.76,11703.24,11713.86,11722.59,11738.16,11797.56,11826.27,11896.47,11949.39,11970.99,12040.74,12076.65,12089.79,12099.96,12099.96
404,"KEN","Kenya",9122.94,9122.94,9122.94,9128.88,9192.15,9208.08,9239.94,9420.93,9560.79,9593.64,9596.61,9603.54,9608.4,9610.2,9607.05,9608.58,9606.42,9609.3,9609.03,9608.67,9610.56,9609.93,9600.03,9599.85
296,"KIR","Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
689,"XKX","Kosovo",1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89,1.89
414,"KWT","Kuwait",213.84,213.75,213.48,214.2,214.47,215.1,215.1,241.38,241.38,238.14,234.63,233.64,233.37,231.21,229.95,228.69,228.42,227.97,226.89,226.44,226.53,226.35,226.17,225.54
417,"KGZ","Kyrgyzstan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,"LAO","Laos",855.18,855.18,855.18,855.99,844.47,841.05,840.96,842.31,845.01,848.7,849.96,849.96,856.89,857.43,857.34,866.34,870.3,847.89,843.57,842.13,845.37,845.91,855.27,855.27
428,"LVA","Latvia",1201.68,1201.23,1201.14,1199.43,1199.52,1200.06,1206.81,1236.6,1247.85,1248.75,1251.81,1255.5,1272.06,1275.39,1286.91,1305.18,1325.25,1331.28,1335.96,1378.62,1390.23,1396.98,1413.63,1413.63
422,"LBN","Lebanon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,"LSO","Lesotho",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09,9.09
430,"LBR","Liberia",37.35,37.17,36.99,32.22,31.41,31.41,31.77,31.77,28.98,27.18,26.91,24.93,23.31,23.22,22.86,22.41,22.23,22.41,23.04,23.22,23.67,24.39,27,27
434,"LBY","Libya",237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15,237.15
438,"LIE","Liechtenstein",0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
440,"LTU","Lithuania",314.46,314.46,314.37,313.2,312.57,312.66,316.8,318.69,318.6,318.51,318.69,318.78,320.22,320.13,320.31,321.84,324.36,323.01,324.36,333.72,336.51,337.68,346.23,346.23
442,"LUX","Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.18,0.27,0.27,0.27,0.27,0.27,0.27
446,"MAC","Macao",0.81,0.81,0.81,0.9,0.9,0.9,0.9,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.8,1.8,1.8,1.8,4.05,3.96,3.87,3.87
450,"MDG","Madagascar",3237.66,3237.66,3237.48,3234.69,3231.18,3225.24,3224.88,3222.09,3211.83,3213.27,3214.98,3255.21,3295.98,3299.22,3310.02,3319.83,3340.17,3351.6,3384.54,3423.06,3431.43,3431.25,3443.67,3443.67
454,"MWI","Malawi",2062.08,2061.99,2061.81,2079.18,2095.56,2117.97,2142.45,2214.36,2235.51,2226.15,2191.86,2191.77,2222.1,2238.21,2244.42,2247.93,2249.55,2253.42,2267.1,2282.76,2300.49,2323.08,2327.22,2327.22
458,"MYS","Malaysia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,"MDV","Maldives",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,"MLI","Mali",2967.12,2967.12,2967.12,2966.85,2964.87,2962.62,2943.99,2950.74,2952,2955.42,2957.67,2959.2,2956.95,2956.95,2965.95,2979.09,2995.83,2996.1,3000.78,3004.11,3006.9,3008.16,3002.85,3002.85
