"code","iso","country","LDA.raw.2018"
620,"PRT","Portugal",92322.2386737918
634,"QAT","Qatar",11275.5510636794
178,"COG","Republic of Congo",343953.02480866
642,"ROU","Romania",237112.827148027
643,"RUS","Russia",16883163.0707623
646,"RWA","Rwanda",25429.4894414226
652,"BLM","Saint Barthelemy",24.8428164822848
659,"KNA","Saint Kitts and Nevis",268.603671435417
662,"LCA","Saint Lucia",618.09295721056
670,"VCT","Saint Vincent and the Grenadines",400.347652614973
882,"WSM","Samoa",2870.41858295987
674,"SMR","San Marino",61.0212696533651
678,"STP","Sao Tome and Principe",1008.98678019783
682,"SAU","Saudi Arabia",1917087.21122059
686,"SEN","Senegal",197412.885853597
688,"SRB","Serbia",77600.6441258487
690,"SYC","Seychelles",496.823101132186
694,"SLE","Sierra Leone",73068.6078737392
702,"SGP","Singapore",678.23183652254
534,"SXM","Sint Maarten",38.2142297996181
703,"SVK","Slovakia",49050.8525579108
705,"SVN","Slovenia",20272.4950115303
90,"SLB","Solomon Islands",28696.0127932742
706,"SOM","Somalia",636866.77468474
710,"ZAF","South Africa",1224469.6333357
410,"KOR","South Korea",100511.273522196
728,"SSD","South Sudan",626242.382685443
724,"ESP","Spain",506618.711341501
144,"LKA","Sri Lanka",66320.8342888235
275,"PSE","State of Palestine",6238.48303733829
729,"SDN","Sudan",1866822.50330271
740,"SUR","Suriname",147401.49811766
752,"SWE","Sweden",448215.378118858
756,"CHE","Switzerland",41702.8972449695
760,"SYR","Syria",186915.669575067
158,"TWN","Taiwan",36574.2658352892
762,"TJK","Tajikistan",142203.110225373
834,"TZA","Tanzania",947930.876310685
764,"THA","Thailand",517030.311979519
626,"TLS","Timor-Leste",15008.3028572758
768,"TGO","Togo",57362.14927118
776,"TON","Tonga",767.371027911607
780,"TTO","Trinidad and Tobago",5191.60395894587
788,"TUN","Tunisia",155252.972657006
792,"TUR","Turkey",781814.245209311
795,"TKM","Turkmenistan",490263.932931988
796,"TCA","Turks and Caicos Islands",996.297409349895
798,"TUV","Tuvalu",41.9968058531875
800,"UGA","Uganda",243049.307222122
804,"UKR","Ukraine",601639.417798268
784,"ARE","United Arab Emirates",79598.9832485942
826,"GBR","United Kingdom",243737.277871613
840,"USA","United States of America",9498570.76176564
858,"URY","Uruguay",177960.791380638
860,"UZB","Uzbekistan",447429.657748875
548,"VUT","Vanuatu",12428.2934852568
862,"VEN","Venezuela",918311.055164032
704,"VNM","Viet Nam",330215.382659122
876,"WLF","Wallis and Futuna Islands",156.671497368874
732,"ESH","Western Sahara",268493.166618263
887,"YEM","Yemen",454800.856541104
894,"ZMB","Zambia",755805.92560478
716,"ZWE","Zimbabwe",392719.773545493
