"code","iso","country","WL5.raw.1997","WL5.raw.1998","WL5.raw.1999","WL5.raw.2000","WL5.raw.2001","WL5.raw.2002","WL5.raw.2003","WL5.raw.2004","WL5.raw.2005","WL5.raw.2006","WL5.raw.2007","WL5.raw.2008","WL5.raw.2009","WL5.raw.2010","WL5.raw.2011","WL5.raw.2012","WL5.raw.2013","WL5.raw.2014","WL5.raw.2015"
140,"CAF","Central African Republic",0.45,1.8,3.51,3.96,7.56,7.56,6.21,4.86,5.13,4.41,4.5,5.04,4.86,4.32,1.53,1.8,1.26,2.25,1.62
148,"TCD","Chad",6.93,9.09,13.32,13.5,12.87,10.26,8.1,5.67,6.93,6.3,7.38,11.79,11.16,10.08,7.56,7.74,10.53,23.76,23.31
152,"CHL","Chile",8.91,12.69,15.03,10.17,161.55,254.07,406.98,718.92,782.19,671.85,590.67,489.87,194.4,133.29,104.94,98.1,40.14,22.32,14.49
156,"CHN","China",75.69,81.99,108.27,95.04,115.47,142.56,167.58,172.17,181.17,163.26,149.22,206.82,230.4,259.47,282.42,306.27,299.88,365.49,322.74
170,"COL","Colombia",167.58,185.67,238.5,157.5,158.85,154.53,145.08,118.26,105.48,141.93,148.68,153.18,141.39,119.16,61.2,54.09,48.78,51.21,39.69
174,"COM","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,"COK","Cook Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,"CRI","Costa Rica",0.36,0.36,0.36,0.54,1.53,1.71,1.98,3.33,4.41,3.96,3.69,3.6,2.52,1.98,1.53,1.53,1.53,1.53,0.81
384,"CIV","Cote d'Ivoire",72.99,80.46,103.32,79.74,54.72,36.54,31.68,9.45,4.95,3.33,3.87,1.8,1.35,1.35,1.44,0.9,0.27,0.54,0.54
191,"HRV","Croatia",2.52,5.31,8.64,7.74,7.74,7.11,4.41,1.62,1.26,0.72,1.35,1.89,1.44,1.44,1.71,0.99,0.72,0.99,1.08
192,"CUB","Cuba",23.67,30.15,62.46,70.47,92.61,96.39,112.68,91.62,74.52,53.82,69.12,71.46,148.41,146.34,139.77,118.08,94.95,9.54,9.54
531,"CUW","Curacao",0.27,0.36,0.27,0.27,0.27,0.18,0.18,0.18,0.09,0.09,0.36,0.63,0.81,1.17,1.71,1.8,1.89,1.8,1.53
196,"CYP","Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09
203,"CZE","Czech Republic",0.54,0.54,1.08,1.08,1.26,1.08,1.08,0.63,0.27,0.09,0.09,0.09,0.09,0.09,0.9,2.43,2.79,2.97,2.97
180,"COD","Dem. Rep. Congo",224.46,288.99,451.08,415.8,504.18,522.99,489.33,417.96,337.32,240.75,229.59,243.27,225.9,248.22,244.62,206.01,199.89,302.94,269.37
208,"DNK","Denmark",2.16,2.7,4.77,4.59,5.49,5.04,4.59,2.79,2.7,1.71,1.71,1.98,1.62,1.35,1.17,0.9,0.54,1.98,1.8
262,"DJI","Djibouti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,"DMA","Dominica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,"DOM","Dominican Republic",19.08,23.67,32.49,30.96,43.11,47.88,53.19,57.6,53.1,46.98,48.78,59.31,57.33,55.71,53.1,47.79,32.58,24.75,23.49
218,"ECU","Ecuador",5.22,5.76,8.64,7.29,12.51,18,24.48,26.28,34.02,31.32,29.25,29.52,30.42,24.39,24.21,23.76,19.89,26.64,24.3
818,"EGY","Egypt",165.51,193.41,211.32,95.76,66.33,58.14,33.84,21.33,16.56,17.1,22.14,25.92,24.48,27.45,36.54,42.57,48.6,69.48,67.86
222,"SLV","El Salvador",0.54,0.54,0.9,1.35,1.8,1.98,2.34,1.89,1.35,1.53,1.44,0.9,0.72,1.08,0.54,0.54,0.54,0.54,0.27
226,"GNQ","Equatorial Guinea",0,0,0,0,0,0.27,0.36,0.45,0.72,0.81,0.63,0.63,0.63,0.45,0.63,0.54,0.63,0.72,0.63
232,"ERI","Eritrea",0.09,0.09,0.09,0.18,0.18,0.09,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0
233,"EST","Estonia",0.99,1.26,1.26,0.36,3.6,4.95,6.39,6.66,7.47,4.41,3.96,5.04,8.46,7.56,7.47,6.75,4.23,1.26,1.26
