"code","iso","country","GL5.raw.1997","GL5.raw.1998","GL5.raw.1999","GL5.raw.2000","GL5.raw.2001","GL5.raw.2002","GL5.raw.2003","GL5.raw.2004","GL5.raw.2005","GL5.raw.2006","GL5.raw.2007","GL5.raw.2008","GL5.raw.2009","GL5.raw.2010","GL5.raw.2011","GL5.raw.2012","GL5.raw.2013","GL5.raw.2014","GL5.raw.2015"
120,"CMR","Cameroon",14.85,14.31,14.4,2.25,13.86,17.01,20.25,25.56,28.35,22.23,23.67,36.99,41.22,48.42,62.37,62.01,66.69,123.12,113.22
124,"CAN","Canada",2852.55,3210.66,3872.61,2643.39,6060.51,7647.48,9482.49,10784.43,12600.54,10549.44,10594.8,11220.66,10929.51,8594.1,7117.2,5249.52,2817.09,1084.86,824.31
136,"CYM","Cayman Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,"CAF","Central African Republic",7.11,9.45,10.62,14.85,20.61,28.08,54.9,75.78,80.01,106.11,101.52,79.47,68.67,62.64,32.04,29.16,22.95,15.03,10.08
148,"TCD","Chad",1496.16,2302.2,3794.31,7956.63,7969.77,7979.04,7487.64,6285.78,1897.47,1879.47,1812.78,2157.75,2211.75,2032.29,1638.27,1651.5,1150.65,1048.59,865.35
152,"CHL","Chile",81.54,92.97,128.25,98.1,185.04,278.1,350.37,438.39,437.04,406.08,349.11,437.31,381.51,415.98,381.96,378.45,239.76,214.74,159.03
156,"CHN","China",22018.68,26330.85,40279.32,42552.99,47414.7,48048.93,48417.57,43330.05,33527.25,25855.83,24568.83,24808.05,20492.28,21060.99,20490.03,18974.97,16667.55,15656.22,12007.17
170,"COL","Colombia",251.28,325.26,518.04,771.57,843.12,818.73,763.92,638.46,336.24,260.19,279.09,315.36,281.79,322.56,325.17,293.4,293.58,479.88,416.43
174,"COM","Comoros",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,"COK","Cook Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,"CRI","Costa Rica",7.38,5.49,3.51,3.15,8.19,10.8,11.61,11.07,14.4,9.99,8.19,8.01,8.37,4.41,2.88,1.8,0.99,0.9,0.81
384,"CIV","Cote d'Ivoire",4.05,3.69,3.24,2.52,7.74,8.37,8.82,9.27,11.88,6.12,6.21,5.76,5.22,2.7,2.16,1.35,0.81,0.54,0.36
191,"HRV","Croatia",4.05,4.41,6.39,5.04,10.62,12.6,14.31,15.03,17.82,13.41,12.51,16.29,23.76,23.94,24.57,23.76,27.81,26.73,24.3
192,"CUB","Cuba",17.64,19.17,38.07,43.47,54.99,60.57,66.69,48.78,46.98,42.84,53.19,48.24,49.77,47.79,36.27,20.97,18.27,16.56,13.86
531,"CUW","Curacao",4.95,5.22,3.78,3.42,3.24,5.76,6.3,6.93,8.19,10.53,9.81,10.44,12.06,11.88,10.17,8.82,7.83,6.39,5.4
196,"CYP","Cyprus",0,0,0,0,0.81,0.81,0.81,1.89,1.89,1.08,1.08,7.38,6.39,6.39,6.57,6.57,0.45,0.36,0.36
