"code","iso","country","TBG.raw.1990","TBG.raw.1991","TBG.raw.1992","TBG.raw.1993","TBG.raw.1994","TBG.raw.1995","TBG.raw.1996","TBG.raw.1997","TBG.raw.1998","TBG.raw.1999","TBG.raw.2000","TBG.raw.2001","TBG.raw.2002","TBG.raw.2003","TBG.raw.2004","TBG.raw.2005","TBG.raw.2006","TBG.raw.2007","TBG.raw.2008","TBG.raw.2009","TBG.raw.2010","TBG.raw.2011","TBG.raw.2012","TBG.raw.2013","TBG.raw.2014","TBG.raw.2015","TBG.raw.2016","TBG.raw.2017","TBG.raw.2018","TBG.raw.2019","TBG.raw.2020"
4,"AFG","Afghanistan",0.0323593338885029,0.0325269566079924,0.0332382132007378,0.033249578335187,0.0332495783338421,0.0332495783338364,0.0332495783338323,0.0332495783338441,0.0332495783338435,0.0332495783338548,0.0332495783338515,0.0332495783338423,0.0332495783338406,0.0332495783338395,0.0332495783338402,0.033249578333846,0.0332495783338471,0.0332495783338454,0.033249578333833,0.0332495783338288,0.228338823976724,0.228338823976807,0.228338823976763,0.228338823976764,0.228338823976752,0.228338823976735,0.228338823976748,0.228338823976733,0.228338823976733,0.228338823976724,0.228338823976724
8,"ALB","Albania",0.933151496580483,0.932845888786028,0.927467616052822,0.927216530324892,0.927220627284666,0.927220627284652,1.27718587569585,2.65770516463181,2.79154505678229,2.79154505678229,4.72599962076308,4.7259996207632,4.72599962076314,4.74276174919996,4.98147107972282,5.71127915810851,7.51065004971826,9.48862416081281,10.9066840440855,13.4428046463418,13.4428046463418,13.7359785957292,14.0374563501037,15.00844582241,15.4086719954854,15.4086719954854,15.4086719954854,15.4086719954854,15.4086719954854,17,17
12,"DZA","Algeria",3.41098887602733,3.39183846465713,3.26659893807386,3.26861688864886,3.28211053114606,3.28211053114573,3.28211053114383,3.28211053114516,3.28211053114406,3.28211053114371,3.31435429110719,3.31435429110839,6.80337975934613,6.80337975934285,7.56902597868042,7.75748020683461,7.75748020683442,7.75813907269115,7.75813907269116,7.75813907269044,7.78956916071479,7.78956916071438,7.80537062227635,7.80537062227662,7.80537062227644,7.80537062227637,7.80537062227616,7.80537062227605,7.80537062227587,7.80537062227581,7.80537062227581
20,"AND","Andorra",0,0,0,0,2.32273464858601,2.32273464858601,2.32273464858601,2.32273464858601,2.32273464858601,2.32273464858601,2.32273464858601,14.8418300121365,14.8418300121365,14.8418300121365,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
24,"AGO","Angola",6.31330297225437,6.31005085234711,6.21938163009308,6.21938163009117,6.21938162985932,6.21938162986226,6.21938162985723,6.21938162985383,6.21938162985301,6.21938162985198,6.21938162985156,6.21938162986049,6.21938162986205,6.21938162986333,6.21938162986419,6.2193816298685,6.21938162986851,6.21938162986841,6.21938162986939,6.21938162986264,6.21938162986184,6.21938162986071,6.21938163987196,6.21938163987101,6.21938163986982,6.21938163987096,6.21938163987127,6.21938163987104,6.21938163987097,6.21938163987141,6.21938163987149
660,"AIA","Anguilla",0.303058725399848,0.302000011296776,0.293642006484089,0.293642006484081,0.31993802546803,0.319938025468026,0.319938025467877,0.319938025467774,0.319938025467816,0.319938025467812,0.319938025467913,0.319938025468021,0.319938025467962,0.319938025467743,0.319938025467727,0.319938025467633,0.319938025467606,0.319938025467578,0.326596206358881,0.326596206358788,0.326596206358802,0.326596206358759,0.326596206358782,0.326596206358768,0.326596206358756,0.326596206358836,0.326596206358821,0.326596206358814,0.326596206358791,0.326596206358794,0.326596206358792
28,"ATG","Antigua and Barbuda",9.5229302945066,9.55045479845555,9.75951923633671,9.75951923633705,9.75951923637116,9.75951923637116,9.75951923637411,9.7595192363763,9.75951923637548,9.75951923637558,9.75951923637352,9.75951923637109,9.75951923637223,9.75951923637626,9.7595192363766,9.75951923637819,14.7497503662928,14.7497503662927,14.7497503662926,14.8413143373342,14.8413143373342,14.8413143373341,14.8413143373351,14.8413143373351,14.841314337335,14.8413143373352,14.8413143373352,14.8413143373352,14.8413143373351,14.8413143373351,14.8413143373351
32,"ARG","Argentina",3.98850567523547,4.08167326721615,4.40580981458393,4.62741997810143,4.7532277042058,5.05619891915862,5.17171096287083,5.25414301397742,5.50730584959603,5.52800023820272,5.8080115361373,6.16000032521061,7.3300923585587,7.38373443607901,8.65559441338003,9.25453488922549,9.31313058769583,9.37935474489237,9.38343847832447,9.41401130660882,9.4265950024801,9.43008348977111,9.43400585940705,9.45733810574318,9.46549255949632,9.48670255907063,9.58856233519854,9.58922085528765,9.61916910238403,9.64153986157143,9.64153986157148
51,"ARM","Armenia",NA,NA,8.23559229560415,8.25696482120824,16.9902662432666,16.9902662432666,16.9902662432666,16.9902662432666,16.9902662432666,16.9902662432666,16.9902662432666,16.9902662432666,16.9997205344064,16.9997205344064,16.9997205344064,16.9997205344064,16.9997205344064,16.9997195519131,16.9997195519131,16.9997195519131,16.9997195519131,16.9997195519131,16.9997195519131,16.9997195519131,16.9997195519131,16.9997195519131,16.9997195519131,16.9997195519131,16.9997195519131,16.9997195519131,16.9997195519131
533,"ABW","Aruba",0.398275580403297,0.398285698168629,0.398359972286203,0.398359972286209,0.398359972286218,0.39835997228621,0.398359972286222,0.398359972286222,0.39835997228622,0.398359972286224,0.398359972286226,8.96835145188362,8.96835145188355,8.96835145188375,8.96835145188377,8.96835145188394,8.96835145188394,8.96835145188392,8.96835145188396,8.96835145188364,8.96835145188362,8.96835145188354,8.96835145188364,8.96835145188358,8.96835145188351,8.96835145188356,8.96835145188357,8.96835145188355,8.96835145188355,8.96835145188357,8.96835145188358
